,Masechet,Daf,Line,Masechet,Comment
2845,Berakhot,106,0,תענית,"כל חותמי ברכות שבמקדש היו אומרים עד העולם – במסכת תענית (פ""ב דף טז:) אמרינן אין עונין אמן במקדש המברך אומר בסוף כל ברכה ברוך אתה ה' אלהי ישראל מן העולם ועד העולם ברוך חונן הדעת וכן בכולם והעונין אומרים ברוך שם כבוד מלכותו לעולם ועד וילפינן לה מקרא דתפלת עזרא וסיעתו ואשמעינן הכא דבמקדש ראשון לא היו אומרים אלא ברוך ה' אלהי ישראל עד מן העולם:"
2846,Berakhot,108,0,תענית,כל חלום ולא טוות – כל חלומות יראה אדם ולא יראה אחד מאותן שהוא שרוי בתענית שאינו טוב טוות לשון תענית כמו ובת טוות האמור בדריוש (דניאל ו׳:י״ט):
2847,Berakhot,111,4,כתובות,נערה המאורסה – היו רגילין לעשות לה חופה של הדס בכניסתה לחופה וקורין לה הינומא כדאמרינן בכתובות (דף טו:) שיצאתה בהינומא וראשה פרוע:
2848,Berakhot,111,0,סנהדרין,פלא נעשה לו – כמו שנעשה לפינחס כדאמרינן בסנהדרין (דף פב.):
2849,Berakhot,117,2,שבת,"כל כ""ח שנים – של תקופת ניסן שבסוף כ""ח כשחוזר מחזור גדול של חמה להיות תקופה נופלת בשעת תליית המאורות בשבתאי היא שעה תחלת ליל ד':"
2850,Berakhot,117,3,שבת,באורתא דתלת נגהי ד' – שהעריב שמשו של ג' בשבת ויתחיל ליל ד':
2851,Berakhot,117,4,פסחים,נגהי – ליל כדאמר בפסחים בשמעתא קמייתא (דף ג.) דאיכא דוכתא דקרו לליליא נגהי:
2852,Berakhot,119,0,"ר""ה","לשכוי – תרנגול דאיכא דוכתא דקרו לתרנגול שכוי כדאמרינן בר""ה (דף כו.):"
2853,Berakhot,122,0,שבת,"משמש – בצרור או בקיסם לפתוח נקבים כדאמרינן במסכת שבת (ד' פב.) לשון אחר משמש המושב שלא יהא מלוכלך ולשון ראשון הגון דא""כ למה לי משום כשפים תיפוק לי כיון שישב כבר מלוכלכים בגדיו ומה יועיל משמושו:"
2854,Berakhot,123,4,תמיד,לאו הכי תנן – במסכת תמיד:
2855,Berakhot,123,5,יומא,מדורה היתה שם – בעזרה היסק גדול של אור להתחמם שם הכהנים המסיכים רגליהם בבית הכסא שצריכין טבילה כדתנן במסכת יומא (ד' כח.) כל המיסך רגליו טעון טבילה:
2856,Berakhot,123,0,מגילה,נילף מקפנדריא – לאיסורא דתנן במסכת מגילה (ד' כח.) אין עושין בית הכנסת קפנדריא:
2857,Berakhot,124,0,סנהדרין,"מעבר שנים וכו' – ותנן אין מעברין את השנים אלא ביהודה דכתיב לשכנו תדרשו כל דרישות שאתה דורש לא יהו אלא בשכנו של מקום בפ""ק דסנהדרין (דף יא:):"
2858,Berakhot,124,0,יבמות,"והלא עקיבא בן יוסף עשה כן – דתנן ביבמות א""ר עקיבא כשירדתי לנהרדעא לעבר שנים בפרק בתרא האשה שהלך בעלה וצרתה (דף קכב.):"
2859,Berakhot,125,4,ערכין,ינגן בכנור – לפני הבמה לפי שחנניה לוי היה כדתנן במסכת ערכין (ד' יא:) מעשה ברב יהושע בן חנניה שהלך לסייע את רב יוחנן בן גודגדא בהגפת דלתות אמר לו חזור בך שאתה מן המשוררים ואני מן השוערים:
2860,Berakhot,125,0,שבת,ראש המדברים – במסכת שבת מפרש לה בבמה מדליקין (ד' לג:):
2861,Arakhin,2,0,נדה,"גמ' מופלא סמוך לאיש - בן י""ב שנה ויום אחד שהוא סמוך לאיש ואינו איש עד שיביא שתי שערות. ומופלא קרי ליה על שם שבודקין אותו אם יודע להפלות ולפרש לשם מי נדר ולשם מי הקדיש כדקתני בפ' יוצא דופן במסכת נדה (דף מה:):"
2862,Arakhin,3,0,סוכה,שאינו צריך לאמו - מפרש במסכת סוכה (דף כח:) שניעור משנתו ואינו קורא אימא:
2865,Arakhin,4,2,יבמות,הזאתו כשרה - טעמא מפרש ביבמות בפ' הערל (יבמות דף עב:) מידי דהוה אטבול יום שפסול בתרומה וכשר בפרה:
2868,Arakhin,5,0,סוכה,ובני עבודה נינהו - ואין יכולין לדור איש ואשתו בסוכה שאין נזקקין לנשותיהן דרמיא עלייהו עבודת הרגל אימא לא ניחייבו:
2869,Arakhin,5,0,יומא,"כיון דאישתרי להו כלאים - בעידן עבודה דאבנט של כלאים היה דכתיב (שמות ל״ט:כ״ט) ואת האבנט שש משזר ומדשש כיתנא תכלת עמרא במסכת יומא (דף עב):
"
2870,Arakhin,5,0,מנחות,"
שלא יהא דבר חוצץ בין בגדי כהונה לבשרו - ותפילין על בשרו בעינן תחת בגדיו בקיבורת אצל הכתף כדאמר במנחות בהקומץ רבה (מנחות דף לז:) דתחת בגדיו בעינן דכתיב והיה לך לאות ולא לאחרים לאות: ציץ מונח על המצח ומצנפת על הראש ואינה מחזקת עד המצח אלא מקום התפילין נראה בגובה הראש מקום שמוחו של תינוק רופס:"
2871,Arakhin,6,0,ערכין,"לא יהו פחותין מסלע - דעני בערכין נידון בהשג יד דכתיב (ויקרא כז) על פי אשר תשיג יד הנודר וגו' ופחות מסלע לא יתן לעולם כדאמר בפ' שני (לקמן ערכין ז:) אין בערכין פחות מסלע ומייתי טעמא מהאי קרא וכיון דלהכי אתא לא הוה ס""ד למדרש לדרשא אחריתי למפטר כהנים מערכין ומתני' לא איצטריך:"
2872,Arakhin,6,0,בכורות,"כהנים נפטרו מפדיון הבן בפ""ק דבכורות (ד.) מק""ו אם פטרו את של ישראל במדבר ק""ו את של עצמן:"
2873,Arakhin,6,1,ערכין,"ולא כהן לפני כהן - הלכך כהן ליתיה בערכין דאי עני הוא לא קרינא ביה והעמידו לפני הכהן קמ""ל מתני':"
2874,Arakhin,7,0,ערכין,"וכל שאינו בערכין - כגון טומטום ואנדרוגינוס דכתיב הזכר דמשמע זכר ודאי נקבה ודאית:
"
2875,Arakhin,7,1,ערכין,שלשת שקלים - דכתיב ולנקבה שלשת שקלים וזהו פחות שבערכין:
2876,Arakhin,7,2,ערכין,"כמפרש דמי - דכיון דאמר ערך סתם עלי ויודע הוא שזהו פחות שבערכין ג' שקלים כמאן דאמר הרי עלי ג' שקלים דמי ולא דמי לאומר ערכי עלי או ערך פלוני עלי דהתם לא מוכחא מילתא דאין הכל יודעין את שנותיו אבל הכא דבר גלוי הוא שהרי לא תלה בשום אדם:
"
2877,Arakhin,7,0,ערכין,"שקול הוא - אי הוה כתיב נמי נפש הוו אתו כולהו בין דבר שהנשמה תלויה בו בין אחד שהעריך מאה ובין אשה שהעריכה דנפש משמע אשה ומשמע נפשות הרבה כענין שנאמר (במדבר ל״א:ל״ה) ונפש אדם מן הנשים ששה עשר אלף ואע""ג דמחד נפש לא מצינו למדרש ג' דרשות הוו אתו כולהו דהא שקולים הן ושוות ונשמעות ממקרא זה ולא מצית לאוקמה להא דרשא טפי מהא והי מינייהו מפקת הלכך כולהו אתו מיניה ונפשות איצטריך למנוול ומוכה שחין דלא תימעטינהו מנדר בערכין:"
2878,Arakhin,7,1,"ב""ק","שקול - שוה. דכל הדרשות שוות למשמע ממקרא זה ואין לך חומר בזו יותר מזו דנימא הך קא מרבה לחודה והך שקולין הן. איכא נמי בב""ק (דף ג.) כי האי גוונא בשמעתא קמייתא:"
2879,Arakhin,7,0,ערכין,"ה""ג סד""א נדר בערכך נפשות כתיב כל שישנו בערכין נידון בכבודו - אפי' כשאמר דמי ראשי עלי וכל שאינו בערכין כשאמר דמי ראשי עלי אינו נידון בכבודו דנפשות גבי ערך כתיב קמ""ל:"
2880,Arakhin,7,1,ערכין,והא עבד דאיתיה בערכין - כדקתני במתני' וקתני בהך ברייתא גבי עבד נמי הוא והקדש שותפין בו דאין נידון בכבודו:
2881,Arakhin,8,1,תמורה,"חוץ מדמי אבר - שלא יקבל דמה כיון דנחתא ליה קדושת הגוף אינו רשאי למוכרה ואם מכרה אינה מכורה שהרי עולתו היא וכיון דלא נפקא לחולין דתמימה היא אין קדושה חלה על מעות האבר הלכך אינה מכורה. וא""ת נמצא לוקח זה מקריב עולה חסירה אבר שאין אבר זה שלו הא פרכי' לה בפ""ק דתמורה (דף יא:) ומשנינן לה כגון דאמר הרי עלי עולה בחייה:"
2882,Arakhin,8,0,תמורה,"ואפילו למ""ד כו' - הכי אוקימנא בשילהי פ""ק דתמורה (דף יא:) דלא פליגי ר""מ ורבי יהודה אלא בדבר שאין הנשמה תלויה בו כגון מן הארכובה ולמטה: "
2883,Arakhin,8,0,תמורה,"והא מר הוא דאמר - בפ""ק דתמורה (דף יא:) הקדיש זכר איל דחזי לעולה ואקדשיה לדמי עולה קדוש קדושת הגוף והוא עצמו יקרב עולה דמיגו דנחתא ליה קדושת דמים נחתא ליה קדושת הגוף הואיל והוא חזי לגופיה ה""נ כי אמר ראש פרה לדמי עולה תיקדש לגופה (הוא) הואיל והיא חזיא תפשוט קדושה בכולה:"
2884,Arakhin,8,0,תמורה,"אבר נמי איבעויי איבעיא ליה למר - בשילהי פ""ק דתמורה (דף יא:):"
2885,Arakhin,9,1,ערכין,והלכתיה לא מסתבר - דודאי אין מעריך משום דערכין לבדק הבית וקרא כתיב לא לכם ולנו לבנות:
2886,Arakhin,9,0,תמורה,אלא מעתה - הואיל ולאיבוד אזיל לא ימעלו בו דמיתהני מיניה לא ניחייב קרבן מעילה דהא תנן חטאות המתות הני חטאות דאמרי' בתמורה ולד חטאת ותמורת חטאת כו':
2887,Arakhin,9,0,שחיטת קדשים,"ואילו גבי קדשי עובדי כוכבים תניא - בשחיטת קדשים בפ' ב""ש (זבחים מה:):"
2888,Arakhin,9,2,"זבחים, תמורה",אבל קדשי - עובדי כוכבים של בדק הבית מועלין בהן. ומפרש התם מאי טעמא דכי גמרה מעילה חטא חטא מתרומה דומיא דתרומה דקדושת הגוף אבל קדושת דמים לא גמרינן מינה וטעם זה מצאתי מפורש בזבחים והוא עיקר שהרי בפירוש נשנה שם. ומפי המורה שמעתי בקדשי מזבח דעובדי כוכבים אין מועלין בהם משום דמצינו חילוק בין קדשי מזבח דעובדי כוכבים לקדשי מזבח דישראל שאין חייבין עליהן משום פיגול נותר וטמא כדאמרינן בשמעתא קמייתא דתמורה (דף ב:) אבל בקדשי בדק הבית דעובדי כוכבים לא מצינו חילוק הלכך מועלין בהן זה שמעתי וראשון עיקר. קתני מיהת מועלין בהן אלמא אינו נגנז מדשייכא ביה מעילה:
2891,Arakhin,11,0,סנהדרין,"למומתין בידי שמים - כגון האי דכתיב השור יסקל וגם בעליו יומת והך מיתה ליכא למימר בידי אדם דהא אמרי' בפ""ק דסנהדרין (דף טו:) מות יומת המכה רוצח הוא על רציחתו אתה הורגו ואי אתה הורגו על רציחת שורו:"
2892,Arakhin,13,0,פסחים,"אלא א""ר נחמן - לעולם שערה ממש ודקשיא לך איסורי הנאה נינהו ל""ק דשיער המת לא מיתסר בהנאה דלא דמי לשיער בהמה שנהרגה דאשה מיתתה אוסרתה ושיער לאו בר מיתה הוא שאין עשוי להשתנות אבל בהמה גמר דינה אוסרתה כדאמר בפסחים בפ' כל שעה (פסחים דף כב:) ממשמע שנאמר סקל יסקל השור איני יודע שהוא נבילה ואסורה באכילה ומה ת""ל לא יאכל את בשרו מגיד שאם שחטו לאחר גמר דינו אסור ואין לי אלא באכילה בהנאה מנין כו' והילכך כל דמחובר בה בשעת גמר דין מיתסר בהדה:"
2893,Arakhin,13,2,"ע""ז","מת אסור בהנאה - דכתיב ותמת שם מרים וגמר שם שם מעגלה ערופה במסכת ע""ז באין מעמידין (ע""ז דף כט:):"
2894,Arakhin,13,1,ערכין,"ולא יותר על חמשים - דזהו גדול שבערכין הכתובין בפרשה:
"
2895,Arakhin,15,2,חולין,ואינו נאכל - החטאת אינה נאכלת דשמא לא ימי זיבה היו וחטאת זו חולין ומליקתה נבילה דחולין מלוקין אינן אלא נבילה והעולה קריבה על תנאי אם זבה היא תהא לחובתה ואם לאו תהא לנדבה אבל חטאת נדבה ליכא:
2896,Arakhin,15,2,שבת,"ולא יותר על שלש - ליום שלש לאפייתן נאכלין ותו לא. חל יום טוב של עצרת להיות באחד בשבת נאפות בערב שבת שאין אפייתן דוחה לא שבת ולא י""ט ונאכלות בי""ט לאחר תנופתן דהיינו ליום שלישי וכשחל עצרת באחד משאר ימי השבת נאפות ערב י""ט ונאכלות בי""ט שהוא שני לאפייתן:"
2897,Arakhin,15,3,שבת,לחם הפנים כו' - כיצד נאפין בערב שבת ונאכלין לשבת האחרת שהוא יום תשיעי לאפייתן חלו שני ימים טובים של ראש השנה להיות חמישי בשבת וששי בשבת נאפה לחם הפנים ברביעי בשבת ונסדר בשבת ונאכל בשבת שניה שהוא אחד עשר לאפייתו:
2898,Arakhin,15,0,שבת,"קטן - נימול לשנים עשר כיצד נולד בין השמשות של ערב שבת אינו נימול בשבת דשמא תשיעי הוא דבין השמשות ספק יום ספק לילה ואם יום הוא נמצא שבת יום תשעה ומילה שלא בזמנה אינה דוחה לא שבת ולא יו""ט ואם חלו שני ימים טובים של ר""ה אחר אותו שבת אינו נימול עד יום שלישי שהוא שנים עשר ללידתו:"
2899,Arakhin,15,1,שבת,"דאם כן - דעבדינן תשעה מליאים קדים אתי סיהרא חדתא תלתא יומא קודם ר""ה שבין מולד תשרי זה למולד תשרי הבא ד' ימים וח' שעות ותתע""ו חלקים ואם מולד תשרי זה בתחילת ליל שבת נמצא מולד תשרי הבא בשמונה שעות ליום ארבע בשבת וכשאנו מסדרין החדשים אחד מלא ואחד חסר נקבע ראש השנה ביום המולד שסדר תולדות הלבנה אחד מלא ואחד חסר שחדש לבנה תשעה ועשרים יום וחצי ושתי ידות שעה וע""ג חלקים הרי לשני חדשים נ""ט ימים היינו חודש אחד מתשעה ועשרים וחדש אחד משלשים יום וכשאנו עושין שבעה מליאים נדחה ראש השנה יום אחד לאחר המולד ואם שמונה מליאים נדחה שני ימים ואם תשעה מליאים נדחה שלשה ימים:"
2900,Arakhin,16,0,שבת,קדים [אתי] סיהרא - חדתא ג' ימים קודם ראש השנה שהמולד ביום ד' וראש השנה בשבת ומרנני עלמא בתר רבנן למימר כל מה דבעו עבדי:
2901,Arakhin,16,2,יומא,"ואכתי חד יומא - ואע""ג דיומא ופלגא היא חד יומא קרי ליה. והוא הדין נמי אם היתה זו מעוברת הוה מצי נמי לתרוצי דנראה לעבר שמונה חדשים והאי דנקט שנה שלפניה משום דלא מיתוקמא מתני' בשנה מעוברת דקתני אין פוחתין מד' חדשים מעוברין הא בארבעה מעוברים סגי ואי במעוברת פשו להו ט' חסירין ובין לרב הונא בין לעולא אפילו שמונה חסירין ליכא לאוקמא אלא במעוברת אבל תשעה לא בפשוטה ולא במעוברת כדלקמן:"
2902,Arakhin,17,1,שבת,"ואין ר""ה כו' או לאור עיבורו - לאור עיבורו של ניסן ביום שאירע בו ל""א של ניסן כגון אם ניסן בא' בשבת הוי אור עיבורו שלישי בשבת להכי קרי ליה אור עיבורו שהוא לילה שבו מתעבר החדש שכשעושים ר""ח יום ל""א הוי חדש שעבר מעובר:"
2903,Arakhin,18,5,תמיד,"בשחיטת פסח ראשון - בי""ד בניסן שהיו קורין ההלל בעזרה בשעת שחיטה כדאמרינן בתמיד נשחט (פסחים סד.):"
2904,Arakhin,18,7,"שבת, ר""ה","ולא היה מחלק - מסיים אלא באבוב יחידי כשהיה מגיע לסיום הנעימה היה האחד מן החלילים מאריך לאחר שתיקת האחר שזהו חילוק יפה יותר משיסיימו שניהם כאחד. חילוק היינו סיום שמחלק בין נעימה לנעימה. ובשעת הקרבה היה שיר זה והיו הלוים משוררים בפה את ההלל באותן י""ב ימים והחלילים מחללים ובשאר ימים היו נבלים וצלצל וכינורות והשיר היה אותו שיר המפורש בר""ה (דף לא.) אחד בשבת לה' הארץ ומלואה וכל המזמור ובשני גדול ה' ומהולל וכן כולם:"
2905,Arakhin,19,0,כריתות,מפטמת את הבשמים - שבה היו כותשין סממני הקטרת והיה קולה צלול ומפטמת הבשמים יפה ונותנת בהן ריח כדאמרי' בכריתות (דף ו:) השוחק אומר היטב הדק הדק היטב שהקול יפה לבשמים:
2907,Arakhin,21,0,שבת,מוצאי שבת - אחד בשבת:
2908,Arakhin,21,0,"שבת, ראש השנה",ותסברא - דשירה גמורה הויא ההיא שירה על קרבן והא שירה דאחד בשבת לה' הארץ ומלואה כדאמר בראש השנה (דף לא.) והאי קרא במזמור אל נקמות ה' שהוא שיר של רביעי בשבת:
2909,Arakhin,22,0,שבת,ותסברא - דלשם שירה אמרו באחד בשבת:
2910,Arakhin,23,0,מגילה,"ומשני הנך תלת שנין דאגלינהו סנחריב עד דאתא ירמיה ואהדרינהו כו' - כלומר הנך שלש שנים שצר סנחריב עליהן כדכתיב (במלכים ב י״ז:ה׳) ויעל מלך אשור (על כל) [בכל] הארץ ויעל שומרון ויצר עליה שלש שנים ולא היה להם פנאי לחרוש ולזרוע ולא מנו שמיטין ויובלות לא קא חשיב להו. והאי דנקט עד דאתא ירמיהו אהדרינהו לאו דווקא דהא יותר מתשעים שנה היה מחזקיהו שהגלה אותן סנחריב עד שהחזירן ירמיהו בימי יאשיהו אלא ה""ק תלת שני דאגלינהו סנחריב והיו באותו גלות עד שהחזירן ירמיהו לא חשיב להו להנך שלש שנים כך שמעתי. והרבה תשובות בדבר חדא דכי מדלית תלת שני משכחת חורבן בשנת ארבעים ותשע והיא שביעית ואנן בעינן מוצאי שביעית ועוד י""ד שנה אחרי אשר הוכתה העיר דליהוי יובל לא משכחת לה והא ליכא למימר לר' יהודה לית ליה הך דרשא דהא קרא כתיב ולקמן לא משכחינן ז' שחילקו אלא מהך דרשא די""ד אחרי אשר הוכתה העיר הוה יובל ועוד קשיא לי היכי לא מדלינן אלא הנך תלת שני והאמרי' בפ' בתרא (לקמן ערכין לב:) משגלו שבט ראובן וגד בטלו היובלות עד שהחזירן ירמיהו ואע""ג דמתרצינן התם מנו יובלות לקדש שמיטין הני מילי לרבנן אבל לר' יהודה מוקמינן התם דלא מנו יובלות כלל ועוד היאך יתכן ליטול שלש שנים לבדם אם כשעלה סנחריב עליהם כבר מנו י' שנים או י""ב ליובל ועלה עליהם שלש שנים היאך יתכן להפסיק אותן שלש שנים ולחזור למניינם הראשון ולמנות י""ג י""ד לקדש יובל שנת החמשים ושלש בעל כרחך אז התחילו למנות א' ב' ג' ד'. ומתוך הוויות אלו נראה בעיני דהאי תלת דכתב בספרים שיבוש הוא ופירוש משובש היה ונכתב בספרים. והכי גרסינן הנך שני דאגלינהו סנחריב עד דאתא ירמיהו אהדרינהו לא חשיב ודוקא נקט דכל אותן השנים שהיו בגלות לא חשיב רבי יהודה במנין שמיטין ויובלות וכדאמרי' בפרק בתרא אלא באותה שנה שחזרו בימי יאשיהו התחילו למנות ליובל וצא וחשוב מאותה שנה עד שנת הת""י החורבן ותמצא חשבונך סדור כמין חומר דבשנת שלשים ושש ליובל חרב הבית והיא מוצאי שביעית ומשכחת ארבע עשרה שנה אחר אשר הוכתה העיר הוה שנת היובל שהרי חזרו בשנת י""ח ליאשיהו כדכתיב (במלכים ב כ״ב:י״ג) דבשנת י""ח ליאשיהו נמצא הספר בבית המקדש ועל דברי הספר שלח המלך אל חולדה הנביאה ואמרי' במגילה (דף יד:) היכי שבקיה לירמיהו ושדר לחולדה ואמרינן ירמיה לא הוה התם שהלך להחזיר עשרת השבטים ומנלן דהדור דכתיב מה הציון הלז וגו' ודבר זה שפינה יאשיה את העבודת כוכבים באותה שנה היה וכך מצאתי בסדר עולם בי""ח ליאשיהו היה תחלת היובל ויאשיהו מלך ל""א שנה מי""ח עד ל""א כמה הוו ארבסרי וחד סרי ליהויקים ויהויכין וחד סרי לצדקיהו כדכתיב (במלכים ב כ״ה:כ״ז) הרי שלשים ושש ואז חרב הבית ומיתוקמא שפיר כר' יהודה. כך הבנתי מלבי וישרה בעיני אבל לא שמעתיה ואחרי כן מצאתי ספר ישן מוגה שכתוב בו כן והודעתיו לרבותי וישרה בעיניהם:"
2911,Arakhin,25,0,שבת,"ארבעה ימים קודם שחיטה - ומשום הכי בעינן ששה לעולם דבשעת חינוך נתנו שם ששה מבוקרין ד' ימים קודם לכן ונטלו יום ראשון שנים לתמידים ונתנו שנים תחתיהם ויבקרום ביום שני נטלו שנים מן הארבעה הנותרים ונתנו שנים תחתיהם ויום שלישי נטלו שנים הנותרים מן הראשונים ונתנו שנים תחתיהן וכן לעולם נוטלים שנים ונותנים שנים ואותן שנתבקרו וניתנו שם יום ראשון ראויים ליום רביעי ואותן שניתנו בשני ראויין בחמישי וכן חוזרין חלילה לעולם ונמצאו כל התמידין הנשחטין מבוקרין ד' ימים קודם שחיטה עם יום הביקור ויום השחיטה כך שמעתי. וקשיא לי הא לא דמי לארבעה ימים דפסח דביקורו בעשור ושחיטתו בי""ד הרי ארבעה ימים לבד מיום השחיטה ולכך נראה בעיני דשמונה ניתנו שם ביום חינוך וששה דקתני במתני' הכי משמע אין פוחתים מששה כלומר שאפילו כשיטלו השנים שבכל יום נשתיירו שם ששה מבוקרין ולאחר כך קודם הלילה יבקרו שנים ויתנו שם והנך הואיל וליתנהו אכתי בשעת נטילת השנים לא קחשיב להו. ל""א סימנא בעלמא דכי היכי דכי מקלעי שבת ור""ה גבי הדדי מיבקר ההוא דשלישי בשבת בע""ש דהא לא מצו היום לילך ולבקש טלה ולבקרו השתא הוי ארבעה ימים קודם שחיטה הכי נמי לעולם בעינן ד' ימים קודם שחיטה: "
2912,Arakhin,25,0,שבת,"דיקא נמי - דסימנא בעלמא הוא ולאו משום טעמא דשבת וראש השנה קא בעי להו מדלא קתני לשבת ולשני ימים כו' דהוי משמע לצורך שבת ור""ה מדקתני כדי ש""מ כפי חשבון הראוי לשבת ולראש השנה דהיינו ששה וסימנא בעלמא הוא:"
2913,Arakhin,26,1,בבא בתרא,זה אחר זה - לא קנה הקדש קרקע שאין קנין קרקע אלא לג' אילנות כדאמר בבבא בתרא:
2914,Arakhin,26,2,"ב""ב","אלא חרוב המורכב וסדן השקמה - שהם זקנים וגדולים מאד ויונקים משדה הקדש טפי משאר אילנות והכי מפורש בב""ב. סדן [השקמה] דדרך שקמין לקוץ אותם כדי שיגדלו בעובי וקודם שנקצץ קרי ליה בתולת שקמה ולאחר קציצה קרי ליה סדן השקמה הכי תניא במס' נדה (דף ח:):"
2915,Arakhin,27,0,"ב""ק","מתני' המית בן חורין נותן שויו - דכתיב במועד (שמות כ״א:ל׳) אם כופר יושת עליו וגו' ותניא בב""ק (דף מ.) ונתן פדיון נפשו דמי ניזק:"
2916,Arakhin,27,0,"ב""ק","גמ' במועד אין בתם לא - אסיפא קאי דקתני חבל בזה ובזה כו' דרישא פשיטא לן דקנס דעבד לא שייך בתם דכתיב בתם ובעל השור נקי ואמרי' בב""ק בפ' שור שנגח ארבעה וחמשה (דף מב.) נקי מדמי עבד וקתני נמי המית בן חורין נותן שויו ודמי כופר לא שייך בתם דהתם נמי אמרינן נקי מחצי כופר:"
2917,Arakhin,27,1,"ב""ק","אף תם שחבל באדם וכו' - בב""ק בפ' המניח את הכד שני שוורים תמים שחבלו זה בזה כו' ר' עקיבא אומר אף תם שחבל באדם משלם במותר נזק שלם והיינו במותר אם חבל גם האדם בשור ושמו בית דין חבלה שבאדם יותר על חבלה שבשור בעל השור משלם אותו מותר נזק שלם. אלמא תם שחבל באדם משלם נזק שלם:"
2918,Arakhin,27,0,כתובות,מתני' פגם - מפרש בכתובות (ד' מ.) שמין אותה כמה אדם רוצה ליתן בין שפחה בתולה לשפחה בעולה להשיאה לעבדו שיש לו קורת רוח הימנו:
2919,Arakhin,29,0,שבת,אל תצאו - בשבת ללקוט:
2920,Arakhin,30,0,יומא,שבחשאי - קטורת נעשית בהיכל בחשאי כדתניא בפרק הוציאו לו במסכת יומא (דף מד.) פורשין מבין האולם ולמזבח בשעת הקטרה. לשון הרע בחשאי הוא:
2921,Arakhin,30,0,סוטה,"קשיא שפיכות דמים וכו' - דקאמרינן לעיל בגדי כהונה מכפרין על אחרים וקא חזינן דעגלה ערופה מכפרת על אחרים דעל ההורג אינה מכפרת דקיימא לן בסוטה (דף מז:) שאם נתערפה העגלה ואח""כ נמצא ההורג מנין שהוא נהרג תלמוד לומר ולארץ לא יכופר וגו':"
2922,Arakhin,31,2,עבודה זרה,"דאמר מר - במסכת עבודה זרה בפ""ק (דף כ:) ענוה גדולה מכולן דכתיב יען משח אותי לבשר ענוים לבשר חסידים לא נאמר:"
2923,Arakhin,32,0,ערכין,מתני' השג יד בנודר - תורת דין השג יד שהעני נידון בערכין לפי השג ידו כדכתיב ואם מך הוא מערכך בתר נודר אזלינן ולא בתר נידר כדמפרש לקמן:
2924,Arakhin,32,0,ערכין,אומר אני אף בערכין כן - אילו מתרמי בערכין דומיא דקרבנות הוי כקרבנות דהא דאמרת דערכין אינן כקרבנות משום דלא דמו אהדדי דמפני מה עני שהעריך עשיר נותן ערך עני לפי השג ידו משום דאין העשיר חייב כלום ולא דמי למצורע וזה שאמר על העשיר לא נתכוון אלא לפי מדת שנותיו של העשיר שפחותין או יתירין על שנותיו שלו הלכך נידון בהשג יד דהא לא פירש כלום אלא ערך מדת [שנותיו של] העשיר קיבל עליו ודין ערך נידון בהשג יד:
2925,Arakhin,32,0,"נדרים, ערכין",גמ' וקפריך השג יד במעריך הוא - ולא בנודר שהאומר דמי עלי אין נידון בהשג יד אלא הכל יתן כשיוכל דאמרינן בפרק האומר משקלי עלי (לקמן ערכין כ.) חומר בנדרים מבערכין שהנדרים אין נידונים בהשג יד:
2926,Arakhin,33,0,ערכין,ולרבי דאמר אף בערכין כן - דאי הוי עשיר מחוייב ערך ואמר עני מה שאמר זה עלי נותן ערך עשיר אלמא בתר חיובא דגברא דנערך אזלינן היכא דהוא חייב כלום דומיא דמצורע והא דמצורע עשיר ומדירו עני לא צריכא למעוטי דמערכין נפקא לן דמייתי בעשירות:
2927,Arakhin,33,0,ערכין,למעוטי מצורע עני ומדירו עשיר - דמייתי בעשירות ולרבנן לא איצטריך למעוטי דהואיל דבערכין אזלינן בתר נודר במצורע נמי אזלינן בתר נודר אבל לרבי איצטריך להכי:
2928,Arakhin,34,1,ערכין,"מרגלית לקלים - דאזלינן במרגלית בתר קלים דכתיב בערכין ונתן את הערכך ביום ההוא ודרשינן לקמן (ערכין דף כד.) שלא ישהה מרגלית לקלים עני שהעריך עצמו ובא כהן להעריכו ויש לו מרגלית שוה ל' סלעים אין אומרים אם משהין אותה עד שיעלוה לכרך שיש שם עשיר והוא יקננה בנ' סלעים הילכך נ' סלעים יש לו ויתן ערך שלם אין אומרים כן ואין להקדש אלא מקומו ושעתו וה""נ בדמים אם אמר דמי מרגלית זו עלי אין שמין אותה לפי מכר הכרכים אלא לפי מכר אותה שעה ואותו מקום:"
2929,Arakhin,35,3,נדה,"לפרקין דיוצא דופן - במסכת נדה (דף מה:) בן י""ב שנה נדריו נבדקין בן י""ג נדריו קיימין בת אחת עשרה נדריה נבדקין בת שתים עשרה נדריה קיימין וכן הרבה שנות בן ובת שנינו שם וקאמר הכא דכולהו מעת לעת שנולדו:"
2930,Arakhin,35,0,נדה,האמר רב - התם במסכת נדה (דף מז:):
2931,Arakhin,36,0,ערכין,שבזכר ושבנקבה מיבעי ליה - כלישנא דקרא דכתיב בערכין (ויקרא כז) אם זכר אם נקבה ולא כתיב בן ובת אבל יוצא דופן כוליה בן ובת תנינן:
2932,Arakhin,36,0,ערכין,ומאי שנא - בערכין דנקבה כי מזקנא יותר על ששים קיימא אתילתא דערך ילדה שלשים שקל וערך זקנה עשרת שקלים:
