,masechet1,masechet2,loc1,loc2,txt1,txt2
1978,Rosh Hashanah,Rosh Hashanah,20a:19,6b:11,"['אחרים היא - דאמרי לעולם כל החדשים אחד מלא ואחד חסר כסדר מולד הלבנה שמתחדשת לעולם בסוף כ""ט ימים ומחצה שהן חמשים ותשעה לשני חדשים:', 'ארבעה ימים - אם נקבע עכשיו באחד בשבת יהא לשנה הבאה בחמישי בשבת שזה חשבון שנים עשר חדש אחד מלא ואחד חסר עולה לשנ""ד ימים והשלש מאות וחמשים כולם שבועים נמצא נדחה להלן ארבעה ימים:', ""ואם היתה שנה מעוברת ה' - שמוסיפין עליה חדש חסר שדוחה להן מן שבועים שלימים יום אחד:""]","['אלא ד\' ימים - קסברי לעולם כל חדשי השנה אחד מלא ואחד חסר ואין מעברין ואין מחסרין שום חדש לצורך והויא לה שנה שנ""ד ימים נמצאת כל השנה שבועים שלמים חוץ מד\' הימים והן הדוחין קביעות השנה מקביעות חברתה:', ""ואם היתה שנה מעוברת חמשה - קסבר חדש עיבור לעולם חסר ואינו דוחה את המועדות אלא יום אחד שהוא יתר על ד' שבועות:""]"
1979,Niddah,Yevamot,47b:12,96b:6,"[""גמ' ורמינהי אחד לי בן תשע שנים וכו' - שניהם דין אחד להם וביאתו כמאמר בגדול כדאמרינן לעיל אלמא קטן הוא ובעיא אמתוני:""]","[""אחד בן ט' ואחד בן עשרים - שניהם שוים לכל דין של מעלה דכל כמה דלא מייתי שערות קטן הוא:""]"
1980,Temurah,Zevachim,2b:12-3a:2,6a:6,"['ה""ג תיפשוט ליה מהא דאמר ר\' אבהו - לקמן:', 'המקדיש מוסיף חומש - שאם רוצה לפדות הקדשו כגון שנפל בו מום יכול לפדותו ומוסיף חומש אבל מימר אינו מוסיף חומש דכתיב אם המקדיש וגו\' (ויקרא כז) על הקדש ראשון אתה מוסיף חומש ולא על הקדש שני כגון תמורה:<br> ע""א שאם הקדיש בית או שדה ואתו בעלים לפדותו לא פרקי בלא חומש דכתיב (שם) ואם המקדיש יגאל ויסף חמישיתו אבל אם גאלו אחר לא חייביה רחמנא ליתן חומש:', 'ומתכפר עושה תמורה - שאם הפריש ישראל קרבן כדי שיתכפר בו חבירו ישראל ואמר המתכפר זו תחת זו תמורתו תמורה ולוקה דכיון שהופרש לצורכו קרינא ביה קרבנו דבתר המתכפר אזלינן ותיפשוט מהא:', 'והתורם - מתבואה שלו על טבלין של חבירו לפוטרו מן המעשרות:', 'טובת הנאה שלו - של תורם שיכול ליתנו לכל כהן שירצה (אי נמי) ואם אמר לו ישראל הילך סלע זה ותנה לבן בתי כהן הוי אותו סלע של תורם ולא של נתרם בשבילו ולא מצי טעין הלה כיון שנתרמה על טבל שלו נמצא דנותן סלע על של עצמו. הך מילתא דרבי אבהו תלת מילי נינהו:']","[""המקדיש מוסיף חומש כו' - אדם שנדר קרבן והפרישו חבירו משלו להתכפר בו הנודר והומם ובא לחללו אם המפריש מחללו מוסיף חומש ואם המתכפר מחללו אינו מוסיף חומש דתלייה רחמנא לחומש במקדיש דכתיב (ויקרא כ״ז:ט״ו) ואם המקדיש יגאל את ביתו ויסף חמישיתו ואם גאל יגאל את השדה [המקדיש אותו]:"", 'והתורם - תרומה משלו על הכרי של חבירו טובת הנאה של מפריש הוא בידו לתתה לכהן שירצה ואם בא ישראל ואמר לו הילך סלע זו ותן תרומתך לבן בתי כהן אותה סלע טובת הנאה של מפריש הוא ויליף התם טעמא את כל מעשר תבואתך ונתת (דברים כ״ו:י״ב) מי שהפרישה מתבואתו בידו לתתה:']"
1981,Yevamot,Yevamot,13a:10,30b:5,"['זו - דמתני\' דהכא דכנס ולבסוף גירש מותרת כדקתני ומתה בתו או נתגרשה ואין צ""ל זו דג\' אחים דגירש ולבסוף כנס:\n']","['זו היא למעוטי מאי - אי למעוטי מת אחיו ואח""כ גירש אשתו וכנס יבמתה השתא כנס ואח""כ גירש שריא גירש ואח""כ כנס מיבעיא ואי למעוטי מת נשוי נכרית ולא גירש בעל אחות אשה אשתו ומת דאסורה נכרית לייבומי משום דהואי צרה בזיקה לזו שנפלה עכשיו בעוד בעלה חי והרי לא נתגרשה ובשעת מיתה צרות הן ובהא מודי רבא הא לר""נ ליכא למימר הכי דהא אין זיקה סבירא ליה והלכך על כרחך כרבי ירמיה סבירא ליה ולמעוטי כנס ואח""כ גירש דאמר נישואין מפילין והאי שעתא צרת ערוה הויא:']"
1982,Yoma,Zevachim,35b:14,20a:8,"[""מתני' ראשו לדרום ופניו למערב - מפרש בגמרא שעוקם ראשו לצד ההיכל וקא בעי טעמא אמאי לא מוקי ליה להדיא זנבו למזרח וראשו למערב:"", 'והכהן עומד במזרח - אחוריו למזרח:']","[""בא לו - כהן אצל פרו להתוודות עליו ביום הכיפורים דכתיב וכפר בעדו וגו' (ויקרא ט״ז:ל׳):"", 'ראשו לדרום ופניו למערב - מצפון לדרום היה עומד ופניו למערב והתם מפרש לה בעוקם את ראשו והתם פריך לוקמיה להדיא ממזרח למערב ומשנינן לה:', 'והכהן עומד - אחוריו למזרח המזבח ופניו למערב כלפי ההיכל: ואמרינן טעמא התם:']"
1983,Chullin,Zevachim,117b:4,43a:2,"['חייבין עליו משום פגול - אם פיגל את הזבח באחת מארבע עבודות הדם ואח""כ אכל מן הבשר שהיה בכלל היתר הדם או מן האימורים שאף הן בהיתר הדם חייב כרת אבל כל דבר שאין אחר מתירו אלא הוא מתיר עצמו כגון הדם והקומץ והקטורת ומנחת כהנים שכולה כליל אין חייבין עליהם משום פגול משום דעיקר פגול בשלמים כתיב ומינייהו ילפינן מה שלמים יש להם מתירין לאדם ולמזבח חייבין עליהם משום פגול אף כל כו\':']","['אין חייבין עליו משום פיגול - אם פיגל באשם לא נפגל הלוג ואע""פ שהלוג תלוי באשם כדכתיב על מקום דם האשם (ויקרא י״ד:כ״ח) ואם לא נתן מדם האשם תחילה אין נתינת השמן כלום אפילו הכי כיון דאדם מביא אשמו עכשיו ולוגו עד עשרה ימים נמצא שאין האשם מתירו וכיון דאין לו מתירין אין חייבין עליו משום פיגול:', 'בין לאדם בין למזבח - או לזה או לזה:']"
1984,Eruvin,Eruvin,36a:18-36b:1,38b:13,"['סוף היום - תחילת בין השמשות שהוא סוף היום של ע""ש:', 'קונה עירוב - וסוף היום אכתי טבל הוא:', 'דאי אמרת תחילת היום - של שבת קונה עירוב דהיינו סוף בין השמשות קונה עירוב אמאי לא אמר כלום:']","['מי סברת סוף היום - של ע""ש קונה עירוב דהוי יו""ט מכין לשבת:']"
1985,Kiddushin,Pesachim,56b:10,21b:6,"['עד שיפרט לך הכתוב - דמדאיצטריך לפרש בנבילה לגר אשר בשעריך תתננה ואכלה למשרייה בהנאה ולא נכתב בו אלא לא תאכלו ש""מ לא תאכלו איסור הנאה הוא ובפסחים (דף כב.) פרכינן עלה טובא: לגר בנתינה ולעובד כוכבים במכירה ל""ג במילתיה דרבי אבהו דאי הוה סבירא ליה דברים ככתבן דוקא תו לא מצי יליף מיניה דהיכא דלא פרט היתר ליתסר דהאי דנבלה לאו אתא להיתר הנאה אלא לאשמועינן דחילופא אסור:']","['עד שיפרוט לך הכתוב בו - היתר הנאה כדרך שפרט לך בנבלה שלא היה כתוב בה אלא לא תאכלו והוצרך להתירה בהנאה כדכתיב או מכור לנכרי לגר בנתינה לנכרי במכירה לא גרסינן אלא ה""ג כדרך שפרט לך בנבלה דתניא וכו\':']"
1986,Chullin,Yoma,117b:4,60a:8,"['אבל מפגול לא צריך - למעוטי דשאם היה הזבח פגול ואכל מדמו פשיטא לן דאין בו משום פגול:', ""דתנן כל שיש לו מתירין - שדבר אחר מתיר אותו בין שהוא מתירו לאדם כגון בשר קדשים שהדם מתירו לכהנים בזריקתו ובין שיש לו מתירין למזבח ולא לאדם כגון עולה שדמה מתירה למזבח דאם לא נזרק דמה אין אבריה נקטרים כדכתיב (ויקרא יז) וזרק הכהן את הדם על מזבח ה' והדר והקטיר החלב לריח ניחוח:"", 'חייבין עליו משום פגול - אם פיגל את הזבח באחת מארבע עבודות הדם ואח""כ אכל מן הבשר שהיה בכלל היתר הדם או מן האימורים שאף הן בהיתר הדם חייב כרת אבל כל דבר שאין אחר מתירו אלא הוא מתיר עצמו כגון הדם והקומץ והקטורת ומנחת כהנים שכולה כליל אין חייבין עליהם משום פגול משום דעיקר פגול בשלמים כתיב ומינייהו ילפינן מה שלמים יש להם מתירין לאדם ולמזבח חייבין עליהם משום פגול אף כל כו\':']","[""בין לאדם בין למזבח - שאחרים מתירין אותן או לאכילת אדם כגון בשר קדשים הנאכל שתלוי בזריקת הדם שכל זמן שלא נזרק אסור באכילה כדכתיב ודם זבחיך ישפך (דברים יב) והדר והבשר תאכל או מתירין למזבח כגון אימורין שזריקת הדם מכשרתן למזבח כדכתיב (ויקרא יז) וזרק הכהן את הדם על מזבח ה' והדר והקטיר החלב לריח ניחוח חייבין עליו משום פיגול אם אכל מהן מקרבן מפוגל חייב כרת דכתיב (שם ז) והנפש האוכלת ממנו עונה תשא אבל מתיר את אחרים כגון הדם והקומץ אין חייבין עליו משום פיגול דגמרינן משלמים דפיגול בשלמים כתיב ושלמים יש להן מתירין למזבח ומתירין לאדם שהדם מתיר את אימוריהן למזבח ובשרם לאכילה:""]"
1987,Ketubot,Yevamot,53a:13,29b:8,"['לא אונן - ליאסר בקדשים:', 'ולא מיטמא לה - אם כהן הוא דלאו שארו היא:', 'ולא מיטמאה לו - אינה חייבת ליטמא לו ואע""פ שמצוה להתעסק בששה מתי מצוה האמורים בפרשת כהנים (ויקרא כא) דכתיב לה יטמא מצוה זו אינה מהם דלאו שארו היא אבל אם רוצה היא ליטמא אינה מוזהרת מליטמא אפילו כהנת דבני אהרן כתיב ולא בנות אהרן:', 'אינו יורשה - נדוניית בית אביה דלא תקון ירושת הבעל עד שתכנס לחופה או שתמסר לשלוחים:', 'מת הוא - בחייה:', 'גובה כתובתה - מנה מאתים ותוספת אם כתב לה:']","[""השתא ארוסה - דקידושין דידה דאוריית' תני רבי חייא אינו יורשה ואינו מטמא לה מאמר יבמין מדרבנן הוא דהא מדאורייתא יבמה יבא עליה כתב רחמנא מיבעיא:"", 'ולא מיטמא - אם כהן הוא דהא לאו שארו הקרוב אליו היא:', 'ולא מיטמאת - אינה צריכה להתעסק בו. ולאו דוקא נקט ולא מיטמאת דהא בנות אהרן לא הוזהרו על הטומאה אלא איידי דנקט לא אוננת דאיצטריך ליה נקט ולא מיטמאת דבעי למתני תרתי בדידה ובדידיה כך שמעתי. ולי נראה ולא מיטמאה כגון ברגל שישראלים מוזהרים על הטומאה מונבלתם לא תגעו במס\' ר""ה (דף טז:):']"
1988,Rosh Hashanah,Sanhedrin,24a:14,10b:5,"["" ר' אלעזר בר' צדוק אומר כו': בזמנו אין מקדשין אותו - שאינו צריך חיזוק:""]","['פלימו אומר בזמנו אין מקדשין אותו - שא""צ לעשות חיזוק לדבר שהרי בזמנו בא:']"
1989,Chagigah,Yoma,17a:7,2b:12-3a:2,"['פז""ר קש""ב - פיי""ס זמ""ן רג""ל קרב""ן שי""ר ברכ""ה פייס לענין פרי החג כל שבעת ימי החג אין מפייסין עליהן אלא לפי חשבון המשמרות לפי סידרן מקריבין אותן כדתנן במסכת סוכה (דף נה:) מי שהיה מקריב פרים היום לא היה מקריב למחר ופר של שמיני מפייסין עליו איזהו מן המשמרות יקריבנו זמן שהחיינו רגל שיש לו שם רגל בפני עצמו ואינו קרוי סוכות קרבן שאין בהמות קרבנותיו כסדר פרי החג שפרי החג מתמעטין והולכין וכבשיהן י""ד בכל יום ואילים שנים ובשמיני פר אחד איל אחד ושבעה כבשים שיר אין שיר קרבנותיו כסדר שיר של ימות החג ואינו מדבר מענין פרשיות של הומבה""י (סוכה נה.) שהוא סימן לשיר של ימות החג ברכה שהיו מברכים את המלך זכר לשלמה שנאמר בו ביום השמיני שלח את העם ויברכו את המלך (מלכים א ח׳:ס״ו):']","['לענין פז""ר קש""ב - פייס לעצמו שאין פייס בפרי החג אצל המשמרות שכל המשמרות שונות ומשלשות בהן לפי חשבון סדרן כמו ששנינו במסכת סוכה (דף נה:) אבל פר של שמיני בתחילה מפיסין עליו:', 'רגל לעצמו - שאין שם חג הסוכות עליו:', 'תשלומין דראשון הוא - אלמא טפל דידיה הוא:']"
1990,Pesachim,Zevachim,60a:12,29b:17-30a:1,"['סיפא - דבמחשבה אחת מיירי ליכא לאוקומה אלא בעבודה אחת:', ""רישא - דמיירי בשתי מחשבות איכא לאוקומא אי אף בעבודה אחת ודלא כר' מאיר:"", ""אי בשתי עבודות - ולא בעבודה אחת ור' מאיר:""]","[""סיפא נמי - כזית למחר כזית בחוץ דפליגי בה ר' יהודה ורבנן:"", 'בשתי עבודות - קא מיירי והאי דהדר נקיט ליה לאשמועינן צירוף כחצי זית דלא אשמועינן ברישא:']"
1991,Sotah,Sotah,31a:18-31b:2,3b:16-19,"['שאוסרתה איסור עולם - כדאמר (לעיל סוטה דף כח.) בסוטה ספק מנטמאה ונטמאה וכ""ש ודאית:']","['אין מתקיימת בפחות משנים - כדבעינן למיגמר דבר דבר מממון:', 'כל שיש בה - כל עדות שיש בה נאמן כדדרשינן לעיל ועד אין בה תרי אלא חד וקא אמר אסורה ואטומאה קאי דהא מינה סליק והיא נטמאה ועד אין בה:']"
1992,Bekhorot,Temurah,41a:15,28b:11,"['מוקצה - שהוקצה והופרש לצורך עבודת כוכבים: ', 'נוגח - את האדם ומת:']","['מוקצה - שהקצוהו לצורך תקרובת עבודת כוכבים:', 'את הנוגח - שהמית את האדם בעד אחד דלא מיסתקיל:', ""אם נאמר רובע - דאסור להקרבה והלא שניהם שוין דאם היו ב' עדים בדבר שניהם נסקלין:""]"
1993,Avodah Zarah,Ketubot,23a:2,26b:6,"['ע""י ממון - שהיתה חייבת ממון מותרת לבעלה:']",['אסורה לבעלה - דהואיל ונוהגין בה הפקר חוששין שמא נתרצתה באחד מהן:']
1994,Eruvin,Pesachim,4b:6,109a:7-109b:1,"['במים במי מקוה - המכונסין משמע ואע""ג דלאו חיים מדלא כתיב חיים:']","['אמה על אמה ברום שלש אמות - מחזיקין ארבעים סאה חלקהו תחלה כולו ברומו שלש אמות יש בהן שמונה עשר טפחים חלקם לי""ו חלקים ותמצא לכל חלק וחלק טפח וחצי אצבע ומחזיק אחד מי""ו במ\' סאה כמה הן ב\' סאין וחצי סאה טפח וחצי אצבע כמה חומשי אצבעות הן עשרים ושנים וחצי חומש הטפח כ\' חומשים חצי אצבע ב\' חומשין וחצי חלוק כ""ב חומשים וחצי לחמשה חלקים תמצא בכל חלק ד\' חומשין וחצי חלוק ב\' סאין וחצי סאה לחמשה חלקים תמצא בכל חלק חצי סאה נמצא דארבע\' חומשין וחצי חומש מחזיק חצי סאה ועוד ד\' חומשין וחצי חומש מחזיק חצי סאה [ועוד ד\' חומשין וחצי חומש מחזיק חצי סאה] נמצא כל אמה על אמה ברום י""ג חומשין וחצי חומש מחזיק סאה וחצי סאה חשוב סאה וחצי סאה ללוגין תמצא ל""ו לוגין כיצד סאה וחצי סאה תשעה קבין ששה קבים לסאה והקב ד\' לוגין הרי ל""ו לוגין בכלי אמה על אמה ברום י""ג חומשים וחצי חומש חלוק הכלי באורך ורוחב לטפחים תמצא האמה על אמה ל""ו טפחים בטפח על טפח שהאמה ו\' טפחים וכשתחלקנו לאורכו ברצועות שהן רחבות טפח תמצא בו ו\' רצועות כל אחת ואחת רחבה טפח וארכה ששה חלוק כל רצועה לארכה לשש תמצא בשש רצועות ל""ו טפחים בטפח על טפח ומחזיק ל""ו לוגין נמצא כלי שהוא טפח על טפח ברום י""ג חומשים וחצי חומש מחזיק לוג וטפח ארבע אצבעות חלוק ארבע אצבעות על ד\' אצבעות שתי וערב לד\' נמצא כל רביעית אצבעים על אצבעים נמצא כל אצבעים על אצבעים ברום י""ג חומשים וחצי חומש מחזיק רביעית הלוג חשוב י""ג חומשים וחצי ותמצא בהן אצבעים וחצי אצבע וחומש אצבע:']"
1995,Gittin,Yoma,28a:16-17,55b:6-56b:1,['אוסרין - שמא יבקע הנוד:'],['הלוקח יין מבין הכותיים - קודם שגזרו עליהם ואין לו כלים להפריש לתוכן תרומות ומעשרות:']
1996,Niddah,Pesachim,63a:8,7b:10,"['עובר - קודם. שהמלח מעביר כח הגריסין:', 'ויעבור את הכושי - קדם לפניו:']",['ויעבר מלכם לפניהם - יקדים לילך בראש:']
1997,Gittin,Yevamot,38a:18-38b:1,66a:2,['וכפו את רבה - מפני שלא היתה ראויה לא לעבד ולא לבן חורין:'],"['ועשאה בת חורין - כדי שתהא מותרת לינשא. ומדכפינן לרבה אלמא מפקדא:', 'מנהג הפקר נהגו בה - לפי שלא היתה יכולה לינשא היתה מפקרת עצמה וחוטאים בה לפיכך כפו את רבה לשחררה:']"
1998,Avodah Zarah,Pesachim,21a:2,6a:9,['אף במקום שאמרו להשכיר - בתים לא לבית דירה אמרו אלא לאשתמושי בהו בציבי ותיבנא:'],"['אף במקום שאמרו להשכיר - בפ""ק דע""א תנן אין משכירין בתים לנכרים בארץ ישראל אבל בסוריא משכירין וכל שכן בחוצה לארץ ואף במקום שהתירו להשכיר לא לבית דירה התיר אלא להעמיד בו בהמות ועצים ולא שידור הוא בה:']"
1999,Makkot,Makkot,16a:1,4b:4,"['משום דה""ל לאו שאין בו מעשה - אבל משום התראת ספק לא הוה מפטר דהתראת ספק שמה התראה:']",['לא מן השם הוא זה - אין טעם זה עיקר דלאו שניתק לעשה אין לוקין עליו אלא מפני מה המותיר אינו לוקה לפי שהוא לאו שאין בו מעשה:']
2000,Beitzah,Gittin,37b:16,25a:4,['לקוחות הן - ולא אמרינן הוברר לכל אחד חלק ירושתו וירושה אינה חוזרת ביובל אלא שמא חלק הבא לזה לא היה שלו והרי החליפו חלקיהם והוו להו לקוחות ומחזירין זה לזה ביובל:'],['לקוחות הן - דאין ברירה דאיכא למיחש חלק שנטל זה היה ראוי לאחיו והחליפו והיינו לקיחה וחוזר ביובל לתחילתו משום מצות יובל והדר שקליה כדמעיקרא:']
2001,Yoma,Yoma,15a:5,31b:3,['קרצו - חתכו חתך בו הכשר שחיטה ברוב שנים ולא כולן לפי שצריך הוא עצמו למהר וליטול מזרק לקבל הדם שכל עבודת יום הכפורים אינה כשירה אלא בו:'],"['קרצו - מפרש בגמרא:', 'ומירק אחר - וגמר כהן אחר שחיטה לפי שאין קבלת הדם כשירה אלא בכהן גדול וצריך למהר ולקבל:', 'על ידו - בשבילו כמו קוצץ אדם ע""י עצמו (ב""מ דף צג.) אי נמי על ידו לשון אחריו וסמוך לו והרבה יש בספר עזרא על ידו החזיק פלוני את החומה (נחמיה ג׳:ח׳):']"
2002,Gittin,Ketubot,77a:17-77b:2,83a:5-7,"['על שדה זו - שהיתה לו עמו שותפות בה:', 'מאי כגון זו - אהייא אמרה רבא:']","['וכי כתב לה מאי הוי - וכל שכן אמירה:', 'האומר לחבירו - כגון שדה של שותפין ואמר האחד לחברו אחד מן הלשונות הללו [בין בכתיבה בין באמירה]:', 'כגון זו - לקמן מפרש אהייא אתמר:', 'מאי כגון זו - אהיכא אמרה רבא:']"
2003,Berakhot,Chullin,24a:13,58b:7,['מחתא מחתינהו – באריגה אחת ארגתם:'],"['בחדא מחיתא מחתינהו - וכי באריגה אחת ארגתם לכולם לשון (שמות לט בתרגום) עובד מחי. דתיקון דבור קרו לו אינשי אריגה שמסדר את דבריו:', 'היכא דאיתמר - דברייתא הכי אית להו איתמר:', 'והיכא דלא איתמר לא איתמר - ויתר הוא וכאילו ניטל אחד מן המעים כנגדו הוא דכל יתר כנטול דמי וכן הלכה דליכא מאן דפליג. ואע""ג דאמרן (לעיל חולין דף מז.) באוני דריאה לית הלכתא כוותיה דרבא ביתרת הא אוקימנא והוא דקיימא בדרא דאוני דקים להו לרבנן דאורחייהו בהכי אבל ביני ביני טרפה אלמא כנטול דמי וגבי רגלים דלאו אורחייהו ודאי טרפה:']"
2004,Ketubot,Ketubot,21b:3,85a:16,"['אשרתא - לשון חוזק שמחזקים [את השטר] וכותבין אשרנוהי:', ""דנכתבא מקמי דניחוו סהדי כו' - עד שלא העידו העדים על כתב ידם כתבו הדיינין במותב תלתא הוינא ונפיק שטרא דנן קדמנא ואסהידו פלוני ופלוני אחתימת ידייהו ואשרנוהי וקיימנוהי:""]","['אשרתא - לשון חוזק כמו יישר כחך (יבמות סב.):', 'דניחוו - שיעידו זה כתב ידי:']"
2005,Menachot,Zevachim,10b:5-6,11a:16,"['מאי טעמא דרבי שמעון - דאמר שלא בכלי שרת עובדה כשרה בפ""ג (שם.):', ""קדשי קדשים וגו' - במנחה כתיב:"", 'בא לעובדה ביד - שלא קידש קומץ בכלי אלא קמץ והוליך והקטיר בידו עובדה בימין כחטאת [דחטאת] לבד בימין היא דכתיב בה אצבע וכהונה ולקח הכהן מדם החטאת באצבעו (ויקרא ד׳:כ״ה):', 'לעובדה בכלי - שקידש קומץ בכלי עובדה לקידוש קומץ בשמאל כאשם מצורע דכתיב ביה שמאל אלמא מדאקשי לחטאת מהכא נפקא דכל עבודות מנחה הנעשות ביד ימין בעינן ויד יד למה לי:']",['כחטאת וכאשם - להכי איתקש מנחה לחטאת ולאשם שאינן שוין בהלכותיהן לומר לך:']
2006,Avodah Zarah,Kiddushin,64a:13,17b:15,['טול אתה עבודת כוכבים - אלמא דגר רוצה בקיומה שלא תשתבר עד שיטול מידו כנגדה מותר:'],['משבאו לרשות גר אסור - להחליפם דקמתהני מאיסורי הנאה:']
2007,Ketubot,Yevamot,66a:2,92b:10-93a:2,"[""אינו צריך להפר - דמשעבדא ליה ואפי' לשמא תעדיף נמי לא חיישינן דאי מעדפה נמי לבעל הוא:"", 'שמא תעדיף - והעדפה דידה הוא וחייל עלה קונם:']","['קונם שאני עושה לפיך - אשה שאמרה לבעלה מה שאני עושה מלאכה יהא אסור לפיך בקונם:', 'אינו צריך להפר - דכיון דקא משעבדא ליה למעשה ידיה לא מציא נדרה:', 'שמא תעדיף עליו כו\' - דתנן (כתובות דף סד:) מה היא עושה לו משקל ה\' סלעים שתי כו\' וטפי לא משעבדא ליה ואהעדפה חייל נדר ואע""ג דעדיין לא נעשית המלאכה:']"
2008,Gittin,Ketubot,51a:6-7,101b:16,"[""מתו בנותיהן ניזונות כו' - הנושא את האשה ופסקה עמו לזון את בתה חמש שנים וגירשה בתוך חמש שנים ונשאת לאחר ופסקה עמו כמו כן חייב לזונה חמש שנים אחד זנה וא' נותן לה דמי מזונות מתו בנותיהן ניזונות מנכסים בני חורין כדקתני מתניתין אין מוציאין למזון האשה והבנות מנכסים משועבדים:"", 'והיא - אותה בת אשתו:', 'ניזונת מנכסים משועבדים כו\' - אלמא כיון דקייצי חמש שנים אע""ג דלא כתיבא גביא ממשעבדי כר\' חנינא וקשיא לעולא:']",['בנותיהן נזונות מנכסים בני חורין - ולא ממשועבדים דתנן (גיטין דף מח:) אין מוציאין לאכילת פירות ולשבח קרקעות ולמזון האשה והבנות מנכסים משועבדים:']
2009,Menachot,Zevachim,4a:18,7b:24,"[""אשם נאמר בו הוא לאחר הקטרת אימורין - בפרשת צו את אהרן והקטיר אותם הכהן המזבחה אשה לה' אשם הוא והילכך אשם לא איפסיל בשלא לשמו דהא בהקטרה כתיב והקטרה לאו עיקר הוא וליכא למיפק הוא אשם ולא שנקטרו אימוריו שלא לשמו דהא הוא עצמו שלא הוקטרו אימוריו כשר כדאמרינן בפ' תמיד נשחט במסכת פסחים (דף נט:) דנטמאו אימוריו או שאבדו לא מעכב כפרה ונאכל הבשר אבל פסח וחטאת כתיב הוא בשחיטה זבח פסח הוא בזבח נשיא כתיב ושחט אותו במקום אשר ישחט את העולה לפני ה' חטאת הוא:""]","[""לכדתניא - כלומר לגלויי על הוא דגבי אשם דלא ילפינן פסול מיניה כדמהדר ליה רבי יהושע לר' אליעזר לקמן בפירקין (זבחים דף י:) שהיה דורש אשם הוא לשמו כשר שלא לשמו פסול וקא מהדר ליה רבי יהושע פסח נאמר בו הוא בשחיטה לפיכך שלא לשמו פסול אבל אשם כו':""]"
2010,Bava Kamma,Shevuot,64b:16,19a:1,['שנתחדש בה - אם המצא בעדים תמצא בדיינין פרט למודה בקנס:'],"[""לכדרבי - בפ' קמא (לעיל שבועות דף ז.) אקרא אני חיה בהמה למה נאמרה כו':""]"
2011,Ketubot,Sotah,112a:8,34b:11,"['לבנו הקטן - לכנען:', 'לבנו גדול - למצרים:']",['לבנו קטן - כנען קטן הבנים של חם היה ומצרים שני לבנים:']
2012,Eruvin,Sanhedrin,8b:3,73a:8,"[""אי מהתם - מחצר שהרבים נכנסין לה כו' דקתני רשות היחיד לשבת:"", 'הוה אמינא - האי דקרי ליה רה""י:', 'אימא לא - משתריא ומדרבנן דליגזור רבנן עליה:', 'קמ""ל - רב מותרת:\n']",['הני מילי בנפשו - אם זה הרואהו יכול להצילהו יצילהו:']
2013,Eruvin,Eruvin,45b:3,71a:18,"['לשלש חצירות - זו אצל זו:', 'פתוחות לרה""ר - דכל אחת רשות לעצמה ואין להן דריסת הרגל זו על זו דאי הוו להו זו לפנים מזו אסרה פנימית אחיצונה דאפילו בפני עצמה אסורה כל אחת להשתמש:']","[""למה הדבר דומה - בפ' מי שהוציאוהו ולרבנן דמתני' אם נשתתפה ביין ובכלי א' הוו להו ב' המבואות כמי שנשתתפו יחד ושפיר דמי אבל לזה ביין ולזה בשמן דתרי עירובי נינהו כיון דב' המבואות אסורין זה עם זה היא נמי אסורה עמהן ושניהן אסורין עמה כדקתני בפרק מי שהוציאוהו:""]"
2014,Bekhorot,Kiddushin,50b:10,11b:8,"['התוקע - המכה את חבירו באזנו לשון מורי בבבא קמא וכאן שמעתי תוקע ממש שתקע מפיו באזנו וראיה ללשון מורי בב""ק וכאן שמעתי אל תהי בתוקעי כף שמכין בכפם על כף חביריהם להיות ערבים בשביל אחרים. וקמ""ל רב אשי דלא תימא סלע צורי ליתיב ליה דהוא ארבע זוז אלא סלע מדינה דהוא פלגא דזוזא שמינית שבסלע צורי:']","['ושל דבריהם איצטריכא ליה דלא תנן - כמה הוי ואשמועינן דהוא כסף מדינה:', ""כדתנן התוקע כו' - כלומר היכא מצינו כסף דבריהם כדתנן כו':"", 'התוקע לחבירו - באזנו לשון רבינו הלוי ורבינו הזקן למדנו שהכהו אצל האוזן:', ""נותן לו סלע - כך שיערו דמי בושתו לאדם בינוני ואשמועינן רב אסי דלא תימא האי סלע ד' זוזי סלע צורי אלא פלגא דזוזא שמיני שבסלע צורי:""]"
2015,Avodah Zarah,Bava Metzia,3b:17,107b:4,"['הכל בידי שמים - מחושות ומכאובות הבאים לאדם כולם על ידי גזירת שמים:', 'חוץ מצנים פחים - צנים צנה. פחים חולי הבא ע""י חום כמו (שיר השירים ב׳:י״ז) עד שיפוח היום:']",['צינים פחים - קור הנופח ולאו היינו רוח דקאמר שמואל דשמואל זיקא בלא צינה נמי מזקת:']
2016,Chullin,Yevamot,131b:9-10,85b:13-86a:1,"['אף לכהן - דבכ""ד מקומות נקראו כהנים לוים הלכך אע""ג דבמעשר ראשון לוי כתיבא ביה כהנים נמי משתמעי: ']","['תרומה לכהן - נתינתה לכהן ומעשר ראשון ללוי. קתני מעשר ללוי דומיא דתרומה לכהן מה תרומה אכילתה כנתינתה לכהן ולא לזר אף מעשר ללוי אכילתו ללוי ולא לזר דאי לאו הכי סבירא ליה לר\' מאיר תרומה למאי קתני נהי דמעשר איצטריכא ליה לאורויי דלא יהבינן ליה לכהן כר\' אלעזר בן עזריה אלא תרומה ל""ל ועוד מדקמהדר ליה ר""א לשון היתר מכלל דר""מ נמי באיסור והיתר איירי:']"
